"pixelvalue","pixelcount"
0.000859271851368248,20004
0.000870467687491328,1914
0.000872811244335026,358
0.000877050973940641,2632
0.000880796753335744,213
0.000895427830982953,43
0.000899086240679026,5829
0.000920010963454843,7481
0.000940407102461904,1343
0.000958999095018953,12956
0.000975609757006168,2050
0.000981382792815566,2889
0.000984995276667178,535
0.00100198993459344,2155
0.00100512872450054,450
0.00100906216539443,2046
0.00105845951475203,149
0.0010848178062588,825
0.00109210051596165,2747
0.00110370898619294,164
0.00110647710971534,26
0.00110711785964668,3749
0.00112371344584972,183
0.00114427460357547,429
0.00115257373545319,10082
0.00115409365389496,397
0.00118697073776275,602
0.00118894106708467,2273
0.00119403598364443,531
0.00123778241686523,44
0.00124301994219422,2488
0.00125012022908777,449
0.00125222746282816,509
0.00128331687301397,12
0.00128712214063853,6516
0.00130365020595491,1898
0.00132600869983435,231
0.00133008963894099,245
0.00133703590836376,393
0.00133937771897763,363
0.00135790323838592,5001
0.00136139907408506,1548
0.00138121552299708,2896
0.00138197967316955,982
0.00139611365739256,1870
0.00140397867653519,876
0.0014162763254717,139
0.00144303485285491,909
0.00144316162914038,940
0.00147836469113827,202
0.00149400753434747,82
0.00149528414476663,757
0.00150169967673719,58
0.00153651332948357,336
0.00155299284961075,3935
0.00156426732428372,2173
0.00157499394845217,238
0.0015812199562788,114
0.00158526038285345,3870
0.00161684839986265,321
0.00166375667322427,1126
0.00167285243514925,5220
0.00167947809677571,40
0.0016894752625376,2270
0.00171199056785554,401
0.00173805642407388,1148
0.00180229579564184,6171
0.00189674214925617,476
0.00189947395119816,1910
0.00189948722254485,698
0.00196338375099003,1515
0.0019846570212394,481
0.00199992302805185,82
0.00200292724184692,79
0.00205647386610508,2588
0.00206349208019674,101
0.00207659439183772,1159
0.00214132759720087,934
0.00214592274278402,466
0.00218796893022954,4064
0.0022094517480582,3742
0.00221378705464303,193
0.00221872120164335,105
0.00223598210141063,2107
0.00225924281403422,2186
0.00230168411508203,4391
0.00234220176935196,130
0.00239931093528867,1833
0.00240266136825085,1730
0.0024062932934612,959
0.0024119857698679,236
0.00243715383112431,838
0.00245709926821291,4397
0.00249927910044789,33
0.002508683828637,30
0.00254141190089285,148
0.00254763849079609,535
0.00257987692020833,8
0.0025815418921411,15
0.0026005026884377,795
0.00261698663234711,1518
0.0026436869520694,337
0.00268003437668085,568
0.00272057601250708,687
0.00272479560226202,734
0.00277826143428683,9079
0.0028632627800107,2078
0.00290746428072453,1442
0.00291900569573045,480
0.00302395899780095,119
0.00318377744406462,72
0.00319929118268192,412
0.00321861845441163,19
0.00323602743446827,2628
0.00325418054126203,472
0.00326205790042877,72
0.00335774407722056,1994
0.00340947834774852,1758
0.00348072219640017,93
0.0034995386376977,237
0.0035325400531292,127
0.0035590436309576,535
0.00359518802724779,423
0.00362655753269792,60
0.00369090493768454,276
0.00375213986262679,4660
0.00383047689683735,863
0.00390357431024313,2827
0.00390409934334457,386
0.00392393581569195,3042
0.00394377578049898,364
0.00403097877278924,1005
0.00404045218601823,1683
0.00408595381304622,2732
0.00411522621288896,243
0.00417073490098119,288
